<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TSEClose>
geram18,d,20220828,000000,12650600,12650600,12650600,12650600,12650600
geram18,d,20220829,000000,12599800,12599800,12599800,12599800,12599800
geram18,d,20220830,000000,12685200,12685200,12685200,12685200,12685200
geram18,d,20220831,000000,12685200,12685200,12685200,12685200,12685200
geram18,d,20220901,000000,12546700,12546700,12546700,12546700,12546700
geram18,d,20220902,000000,12546700,12546700,12546700,12546700,12546700
geram18,d,20220903,000000,12671400,12671400,12671400,12671400,12671400
geram18,d,20220904,000000,12814500,12814500,12814500,12814500,12814500
geram18,d,20220905,000000,12671400,12671400,12671400,12671400,12671400
geram18,d,20220906,000000,12770700,12770700,12770700,12770700,12770700
geram18,d,20220907,000000,12726800,12726800,12726800,12726800,12726800
geram18,d,20220908,000000,12819200,12819200,12819200,12819200,12819200
geram18,d,20220909,000000,12819200,12819200,12819200,12819200,12819200
geram18,d,20220910,000000,12839900,12839900,12839900,12839900,12839900
geram18,d,20220911,000000,13073100,13073100,13073100,13073100,13073100
geram18,d,20220912,000000,13204700,13204700,13204700,13204700,13204700
geram18,d,20220913,000000,13366300,13366300,13366300,13366300,13366300
geram18,d,20220914,000000,13135400,13135400,13135400,13135400,13135400
geram18,d,20220915,000000,13278500,13278500,13278500,13278500,13278500
geram18,d,20220916,000000,13204700,13204700,13204700,13204700,13204700
geram18,d,20220917,000000,13158500,13158500,13158500,13158500,13158500
geram18,d,20220918,000000,13116900,13116900,13116900,13116900,13116900
geram18,d,20220919,000000,13066200,13066200,13066200,13066200,13066200
geram18,d,20220920,000000,13089200,13089200,13089200,13089200,13089200
geram18,d,20220921,000000,13239300,13239300,13239300,13239300,13239300
geram18,d,20220922,000000,13308600,13308600,13308600,13308600,13308600
geram18,d,20220923,000000,13308600,13308600,13308600,13308600,13308600
geram18,d,20220924,000000,13110000,13110000,13110000,13110000,13110000
geram18,d,20220925,000000,13110000,13110000,13110000,13110000,13110000
geram18,d,20220926,000000,13116900,13116900,13116900,13116900,13116900
geram18,d,20220927,000000,13116900,13116900,13116900,13116900,13116900
geram18,d,20220928,000000,13163100,13163100,13163100,13163100,13163100
geram18,d,20220929,000000,13269300,13269300,13269300,13269300,13269300
geram18,d,20220930,000000,13269300,13269300,13269300,13269300,13269300
geram18,d,20221001,000000,13744900,13744900,13744900,13744900,13744900
geram18,d,20221002,000000,13719500,13719500,13719500,13719500,13719500
geram18,d,20221003,000000,13804900,13804900,13804900,13804900,13804900
geram18,d,20221004,000000,13950300,13950300,13950300,13950300,13950300
geram18,d,20221005,000000,13989600,13989600,13989600,13989600,13989600
geram18,d,20221006,000000,13860300,13860300,13860300,13860300,13860300
geram18,d,20221007,000000,13851000,13851000,13851000,13851000,13851000
geram18,d,20221008,000000,13763300,13763300,13763300,13763300,13763300
geram18,d,20221009,000000,13504800,13504800,13504800,13504800,13504800
geram18,d,20221010,000000,13562500,13562500,13562500,13562500,13562500
geram18,d,20221011,000000,13598000,13598000,13598000,13598000,13598000
geram18,d,20221012,000000,13614000,13614000,13614000,13614000,13614000
geram18,d,20221013,000000,13616000,13616000,13616000,13616000,13616000
geram18,d,20221014,000000,13616000,13616000,13616000,13616000,13616000
geram18,d,20221015,000000,13457000,13457000,13457000,13457000,13457000
geram18,d,20221016,000000,13550000,13550000,13550000,13550000,13550000
geram18,d,20221017,000000,13492000,13492000,13492000,13492000,13492000
geram18,d,20221018,000000,13450000,13450000,13450000,13450000,13450000
geram18,d,20221019,000000,13404000,13404000,13404000,13404000,13404000
geram18,d,20221020,000000,13406000,13406000,13406000,13406000,13406000
geram18,d,20221021,000000,13406000,13406000,13406000,13406000,13406000
geram18,d,20221022,000000,13543000,13543000,13543000,13543000,13543000
geram18,d,20221023,000000,13420000,13420000,13420000,13420000,13420000
geram18,d,20221024,000000,13369000,13369000,13369000,13369000,13369000
geram18,d,20221025,000000,13483000,13483000,13483000,13483000,13483000
geram18,d,20221026,000000,13616000,13616000,13616000,13616000,13616000
geram18,d,20221027,000000,13616000,13616000,13616000,13616000,13616000
geram18,d,20221028,000000,13616000,13616000,13616000,13616000,13616000
geram18,d,20221029,000000,13473000,13473000,13473000,13473000,13473000
geram18,d,20221030,000000,13561000,13561000,13561000,13561000,13561000
geram18,d,20221031,000000,13605000,13605000,13605000,13605000,13605000
geram18,d,20221101,000000,13748000,13748000,13748000,13748000,13748000
geram18,d,20221102,000000,13965000,13965000,13965000,13965000,13965000
geram18,d,20221103,000000,13930000,13930000,13930000,13930000,13930000
geram18,d,20221104,000000,13930000,13930000,13930000,13930000,13930000
geram18,d,20221105,000000,14621000,14621000,14621000,14621000,14621000
geram18,d,20221106,000000,14806300,14806300,14806300,14806300,14806300
geram18,d,20221107,000000,14940700,14940700,14940700,14940700,14940700
geram18,d,20221108,000000,14670600,14670600,14670600,14670600,14670600
geram18,d,20221109,000000,14702900,14702900,14702900,14702900,14702900
geram18,d,20221110,000000,14760600,14760600,14760600,14760600,14760600
geram18,d,20221111,000000,14774400,14774400,14774400,14774400,14774400
geram18,d,20221112,000000,14788300,14788300,14788300,14788300,14788300
geram18,d,20221113,000000,14896800,14896800,14896800,14896800,14896800
geram18,d,20221114,000000,15081500,15081500,15081500,15081500,15081500
geram18,d,20221115,000000,15201500,15201500,15201500,15201500,15201500
geram18,d,20221116,000000,15201500,15201500,15201500,15201500,15201500
geram18,d,20221117,000000,14862200,14862200,14862200,14862200,14862200
geram18,d,20221118,000000,14876000,14876000,14876000,14876000,14876000
geram18,d,20221119,000000,15000700,15000700,15000700,15000700,15000700
geram18,d,20221120,000000,14913000,14913000,14913000,14913000,14913000
geram18,d,20221121,000000,14975300,14975300,14975300,14975300,14975300
geram18,d,20221122,000000,14996100,14996100,14996100,14996100,14996100
geram18,d,20221123,000000,14947600,14947600,14947600,14947600,14947600
geram18,d,20221124,000000,15063000,15063000,15063000,15063000,15063000
geram18,d,20221125,000000,15074600,15074600,15074600,15074600,15074600
geram18,d,20221126,000000,15277700,15277700,15277700,15277700,15277700
geram18,d,20221127,000000,15372400,15372400,15372400,15372400,15372400
geram18,d,20221128,000000,15307700,15307700,15307700,15307700,15307700
geram18,d,20221129,000000,15233800,15233800,15233800,15233800,15233800
geram18,d,20221130,000000,15506200,15506200,15506200,15506200,15506200
geram18,d,20221201,000000,15776300,15776300,15776300,15776300,15776300
geram18,d,20221202,000000,15783300,15783300,15783300,15783300,15783300
geram18,d,20221203,000000,15686300,15686300,15686300,15686300,15686300
geram18,d,20221204,000000,15998000,15998000,15998000,15998000,15998000
geram18,d,20221205,000000,15804000,15804000,15804000,15804000,15804000
geram18,d,20221206,000000,15665500,15665500,15665500,15665500,15665500
geram18,d,20221207,000000,15836400,15836400,15836400,15836400,15836400
geram18,d,20221208,000000,15760200,15760200,15760200,15760200,15760200
geram18,d,20221209,000000,15760200,15760200,15760200,15760200,15760200
geram18,d,20221210,000000,16251900,16251900,16251900,16251900,16251900
geram18,d,20221211,000000,16436600,16436600,16436600,16436600,16436600
geram18,d,20221212,000000,16695100,16695100,16695100,16695100,16695100
geram18,d,20221213,000000,16976800,16976800,16976800,16976800,16976800
geram18,d,20221214,000000,16736700,16736700,16736700,16736700,16736700
geram18,d,20221215,000000,16979100,16979100,16979100,16979100,16979100
geram18,d,20221216,000000,16944400,16944400,16944400,16944400,16944400
geram18,d,20221217,000000,17487000,17487000,17487000,17487000,17487000
geram18,d,20221218,000000,17309200,17309200,17309200,17309200,17309200
geram18,d,20221219,000000,17648500,17648500,17648500,17648500,17648500
geram18,d,20221220,000000,17422300,17422300,17422300,17422300,17422300
geram18,d,20221221,000000,17706300,17706300,17706300,17706300,17706300
geram18,d,20221222,000000,17937100,17937100,17937100,17937100,17937100
geram18,d,20221223,000000,17925600,17925600,17925600,17925600,17925600
geram18,d,20221224,000000,18260300,18260300,18260300,18260300,18260300
geram18,d,20221225,000000,18375700,18375700,18375700,18375700,18375700
geram18,d,20221226,000000,18800500,18800500,18800500,18800500,18800500
geram18,d,20221227,000000,18987500,18987500,18987500,18987500,18987500
geram18,d,20221228,000000,19576200,19576200,19576200,19576200,19576200
geram18,d,20221229,000000,19206800,19206800,19206800,19206800,19206800
geram18,d,20221230,000000,19206800,19206800,19206800,19206800,19206800
geram18,d,20221231,000000,17706300,17706300,17706300,17706300,17706300
geram18,d,20230101,000000,18555800,18555800,18555800,18555800,18555800
geram18,d,20230102,000000,17925600,17925600,17925600,17925600,17925600
geram18,d,20230103,000000,18052500,18052500,18052500,18052500,18052500
geram18,d,20230104,000000,18047900,18047900,18047900,18047900,18047900
geram18,d,20230105,000000,18034100,18034100,18034100,18034100,18034100
geram18,d,20230106,000000,18013300,18013300,18013300,18013300,18013300
